chhoneycarrier                     0x801C6620
chhoopswoop                        0x801C0110
chhotfloorsmoke                    0x801C6620
chhotwaterpoolbits                 0x801BD0D0
chhotwatersteam                    0x801E21D0
chhumba                            0x801C0110
chicekey                           0x801E4790
chicekeydoor                       0x801C5860
chicestationbits                   0x801C6620
chiciclebits                       0x801C6620
chicywind                          0x801C6620
chidgoldhorde                      0x801E4790
chinflatableboss                   0x801C0110
chinflatablebossdoor               0x801E4790
chintrocam                         0x801BD0D0
chintrochar                        0x801ADB90
chintroticker                      0x801C5860
chjadesnake                        0x801BD0D0
chjadestatue                       0x801C6620
chjamjarsdummy                     0x801C6620
chjellycastle                      0x801E4790
chjiggybeam                        0x801E4790
chjiggygamenew                     0x801ADB90
chjiggypost                        0x801C6620
chjiggytemple                      0x801BD0D0
chjigsaw                           0x801C5860
chjigsawbitcont                    0x801BD0D0
chjigsawcollect                    0x801C5860
chjigsawdance                      0x801C6620
chjinjovillagecamera1              0x801C6620
chjollyroger                       0x801D4420
chjrinnlight                       0x801E4790
chjujubagfx                        0x801C6620
chkingjinjo                        0x801D4420
chkingjinjobits                    0x801BD0D0
chklungodoors                      0x801C5860
chklungoforcefield                 0x801C6620
chklungoleave                      0x801E4790
chklungophial                      0x80193540
chlagoonbilldrillcover             0x801C6620
chlagoonbits                       0x801BD0D0
chlagoonentrygate                  0x801E4790
chlagoonfish                       0x801BD0D0
chlagoonpirate                     0x801E4790
chlagoonufoext                     0x801C5860
chlagoonufoint                     0x8019B940
chlakemonster                      0x801C0110
chlaundry                          0x801C6620
chlavaarchgrill3switches           0x801C6620
chlavaarchgrill                    0x801C5860
chlavaarchgrillswitch              0x801E4790
chlavacolumns                      0x801E21D0
chlavacolumnswitch                 0x801E4790
chlavaentrancebridge               0x801E4790
chlavaentrancebridgeswitch         0x801E4790
chlavaentrydoor                    0x801E4790
chlavaexplodbuild                  0x801C6620
chlavafall                         0x801E4790
chlavagargoyle                     0x80191C00
chlavahand                         0x801D4420
chlavaslab                         0x801E4790
chlavaslabswitch                   0x801E4790
chlavatraindoor                    0x801E4790
chlavatraindoorswitch              0x801E4790
chlensflare                        0x801C5860
chlifeforcespell                   0x801C6620
chlightdemon                       0x801E4790
chlightfader                       0x801C6620
chlighthalo                        0x801C5860
chlilterry                         0x801E4790
chlinkpipefan                      0x801C5860
chloggo                            0x801C5860
chmasterjiggy                      0x801D4420
chmayaentrydoor                    0x801E4790
chmayafarmer                       0x801D4420
chmermaidstatue                    0x801C6620
chmineentrygrille                  0x801E4790
chminegrill2switches               0x801E4790
chminegrilldoor                    0x801E4790
chminelight                        0x801C5860
chminelightswitch                  0x801E4790
chminelobbydoor                    0x801E4790
chmineproplight                    0x801E4790
chmineprospector                   0x801A6800
chminisubgame                      0x801D4420
chmole_cuckoo                      0x801E4790
chmole_hailfire                    0x801E4790
chmole_lagoon                      0x801E4790
chmole_maya                        0x801E21D0
chmole_mine                        0x801E4790
chmole_overworld                   0x801E4790
chmole_prehist                     0x801E4790
chmole_training                    0x80191C00
chmole_witchy                      0x801E4790
chmolehill                         0x801BD0D0
