cheggnormal                          0x97A
chfaircoin                           0x97D
chfaircoinbox                        0x97F
chgoldstatue                         0x982
chlaundry                            0x983
chping                               0x985
chpodiumbankaz                       0x987
chstinger                            0x989
chswappy                             0x98B
chtorpedo                            0x98D
chwandglow                           0x98F
chfactoryworkerdirty                 0x993
chfactoryworkerwear                  0x997
cheggsplode                          0x998
chjadestatue                         0x99B
chtemplebossdoor                     0x99D
chtempleinternaldoor                 0x99E
chtemplelobbydoor                    0x99F
chminelobbydoor                      0x9A0
chtransparencypot                    0x9A1
chtntmineshoot                       0x9A2
chclinker                            0x9A6
chfactorylobbydoor                   0x9A9
chfpsgame                            0x9AA
cheggproximity                       0x9AB
ch1pfreeze                           0x9AE
chcaptainblubber                     0x9B0
chtransparentfish                    0x9B1
chdummyjigsaw                        0x9B2
chpufferfish                         0x9B3
chsunlightspell                      0x9B4
chlinkpipefan                        0x9B5
chfactorydrums                       0x9B7
chdoubloon                           0x9BA
chdinofamilymissing                  0x9BD
chsmalltrexdoor                      0x9BE
chswampplatform                      0x9BF
chwumbawigwam                        0x9C0
chfactorybattery                     0x9C1
chfactoryroofbits                    0x9C4
chfactorymagnet                      0x9CA
chfactorybtwmdoor                    0x9CF
chbosskogsdoor                       0x9D0
chlensflare                          0x9D2
chfactorytoxiccloud                  0x9D4
chfactoryempspell                    0x9D5
chtoxicroombits                      0x9D7
chgoldfish                           0x9D9
chfactorylinkgrill                   0x9DA
chfactorymaindoor                    0x9DD
chlavagargoyle                       0x9E0
chfactorytrashbelt                   0x9E3
chlavahand                           0x9E4
chpotogoldgame                       0x9E6
chfactorystationdoors                0x9EA
chpotogoldbits                       0x9EB
chfantasydrillfield                  0x9EF
chfantasytrashcanbits                0x9F0
chbeanstalkseed                      0x9F2
chrainbow                            0x9F4
chwaspstatue                         0x9F6
chbubbleelevator                     0x9F9
chfactorysparkroom                   0x9FA
chfantasylakebits                    0x9FC
chfantasysafe                        0x9FF
chtrashcangame                       0xA01
chfantasyathlete                     0xA06
